PLANNING AREA,SUBZONE,Age,Sex,Population
TOTAL,TOTAL,Total,Total,4180870 
TOTAL,TOTAL,Total,Males,2034960 
TOTAL,TOTAL,Total,Females,2145900 
TOTAL,TOTAL,0 ,Total,29250 
TOTAL,TOTAL,0 ,Males,14970 
TOTAL,TOTAL,0 ,Females,14280 
TOTAL,TOTAL,1 ,Total,32080 
TOTAL,TOTAL,1 ,Males,16590 
TOTAL,TOTAL,1 ,Females,15490 
TOTAL,TOTAL,2 ,Total,35020 
TOTAL,TOTAL,2 ,Males,17910 
TOTAL,TOTAL,2 ,Females,17110 
TOTAL,TOTAL,3 ,Total,35390 
TOTAL,TOTAL,3 ,Males,18100 
TOTAL,TOTAL,3 ,Females,17290 
TOTAL,TOTAL,4 ,Total,38760 
TOTAL,TOTAL,4 ,Males,19800 
TOTAL,TOTAL,4 ,Females,18960 
TOTAL,TOTAL,5 ,Total,38570 
TOTAL,TOTAL,5 ,Males,19590 
TOTAL,TOTAL,5 ,Females,18980 
TOTAL,TOTAL,6 ,Total,39020 
TOTAL,TOTAL,6 ,Males,20000 
TOTAL,TOTAL,6 ,Females,19020 
TOTAL,TOTAL,7 ,Total,40210 
TOTAL,TOTAL,7 ,Males,20560 
TOTAL,TOTAL,7 ,Females,19650 
TOTAL,TOTAL,8 ,Total,41940 
TOTAL,TOTAL,8 ,Males,21520 
TOTAL,TOTAL,8 ,Females,20420 
TOTAL,TOTAL,9 ,Total,42340 
TOTAL,TOTAL,9 ,Males,21620 
TOTAL,TOTAL,9 ,Females,20720 
TOTAL,TOTAL,10 ,Total,40560 
TOTAL,TOTAL,10 ,Males,20660 
TOTAL,TOTAL,10 ,Females,19900 
TOTAL,TOTAL,11 ,Total,42270 
TOTAL,TOTAL,11 ,Males,21810 
TOTAL,TOTAL,11 ,Females,20470 
TOTAL,TOTAL,12 ,Total,41340 
TOTAL,TOTAL,12 ,Males,21050 
TOTAL,TOTAL,12 ,Females,20290 
TOTAL,TOTAL,13 ,Total,39120 
TOTAL,TOTAL,13 ,Males,19940 
TOTAL,TOTAL,13 ,Females,19180 
TOTAL,TOTAL,14 ,Total,41110 
TOTAL,TOTAL,14 ,Males,20800 
TOTAL,TOTAL,14 ,Females,20300 
TOTAL,TOTAL,15 ,Total,42080 
TOTAL,TOTAL,15 ,Males,21430 
TOTAL,TOTAL,15 ,Females,20650 
TOTAL,TOTAL,16 ,Total,43610 
TOTAL,TOTAL,16 ,Males,22020 
TOTAL,TOTAL,16 ,Females,21590 
TOTAL,TOTAL,17 ,Total,41950 
TOTAL,TOTAL,17 ,Males,21460 
TOTAL,TOTAL,17 ,Females,20500 
TOTAL,TOTAL,18 ,Total,41810 
